3歳上500万下,2018年07月22日 ,芝右1800m, 晴,函館
3歳上500万下,2018年07月22日 ,ダ右1700m, 晴,函館
松前特別,2018年07月22日 ,芝右2000m, 晴,函館
函館2歳ステークス,2018年07月22日 ,芝右1200m, 晴,函館
潮騒特別,2018年07月22日 ,芝右1200m, 晴,函館
3歳未勝利,2018年04月07日 ,ダ右1700m, 曇,福島
3歳未勝利,2018年04月07日 ,芝右1200m, 曇,福島
4歳上500万下,2018年04月07日 ,ダ右1700m, 曇,福島
障害4歳上未勝利,2018年04月07日 ,障芝2750m, 曇,福島
障害4歳上オープン,2018年04月07日 ,障芝2750m, 曇,福島
4歳上500万下,2018年04月07日 ,ダ右1700m, 曇,福島
3歳未勝利,2018年04月07日 ,ダ右1150m, 曇,福島
3歳未勝利,2018年04月07日 ,芝右2600m, 曇,福島
4歳上500万下,2018年04月07日 ,ダ右1150m, 曇,福島
ひめさゆり賞,2018年04月07日 ,芝右2000m, 曇,福島
吾妻小富士賞,2018年04月07日 ,芝右1200m, 曇,福島
川俣特別,2018年04月07日 ,芝右1800m, 曇,福島
3歳未勝利,2018年04月08日 ,ダ右1700m, 晴,福島
3歳未勝利,2018年04月08日 ,芝右1200m, 晴,福島
4歳上500万下,2018年04月08日 ,ダ右1700m, 晴,福島
障害4歳上未勝利,2018年04月08日 ,障芝2750m, 晴,福島
3歳未勝利,2018年04月08日 ,芝右2000m, 晴,福島
3歳未勝利,2018年04月08日 ,ダ右1150m, 晴,福島
3歳未勝利,2018年04月08日 ,芝右1800m, 晴,福島
4歳上500万下,2018年04月08日 ,ダ右1150m, 晴,福島
4歳上500万下,2018年04月08日 ,芝右1200m, 晴,福島
浄土平特別,2018年04月08日 ,芝右2000m, 晴,福島
米沢特別,2018年04月08日 ,ダ右1700m, 晴,福島
喜多方特別,2018年04月08日 ,芝右1200m, 晴,福島
3歳未勝利,2018年04月14日 ,ダ右1150m, 晴,福島
3歳未勝利,2018年04月14日 ,芝右1200m, 曇,福島
3歳未勝利,2018年04月14日 ,ダ右1700m, 曇,福島
3歳未勝利,2018年04月14日 ,芝右1800m, 曇,福島
3歳未勝利,2018年04月14日 ,芝右1200m, 曇,福島
3歳未勝利,2018年04月14日 ,芝右2000m, 曇,福島
4歳上500万下,2018年04月14日 ,ダ右1700m, 曇,福島
4歳上500万下,2018年04月14日 ,芝右1200m, 曇,福島
4歳上500万下,2018年04月14日 ,ダ右1700m, 曇,福島
雪うさぎ賞,2018年04月14日 ,芝右1200m, 曇,福島
ラジオ福島賞,2018年04月14日 ,ダ右1150m, 曇,福島
飯盛山特別,2018年04月14日 ,芝右2000m, 曇,福島
3歳未勝利,2018年04月15日 ,ダ右1150m, 曇,福島
3歳未勝利,2018年04月15日 ,芝右1200m, 曇,福島
3歳未勝利,2018年04月15日 ,ダ右1700m, 曇,福島
障害4歳上未勝利,2018年04月15日 ,障芝2750m, 曇,福島
障害4歳上未勝利,2018年04月15日 ,障芝2750m, 曇,福島
3歳未勝利,2018年04月15日 ,ダ右1700m, 曇,福島
4歳上500万下,2018年04月15日 ,芝右1800m, 曇,福島
4歳上500万下,2018年04月15日 ,ダ右1700m, 曇,福島
4歳上500万下,2018年04月15日 ,ダ右1150m, 曇,福島
医王寺特別,2018年04月15日 ,芝右1200m, 曇,福島
福島民報杯,2018年04月15日 ,芝右2000m, 曇,福島
奥の細道特別,2018年04月15日 ,芝右2600m, 曇,福島
3歳未勝利,2018年04月21日 ,ダ右1150m, 晴,福島
3歳未勝利,2018年04月21日 ,芝右1200m, 晴,福島
3歳未勝利,2018年04月21日 ,ダ右1700m, 晴,福島
障害4歳上未勝利,2018年04月21日 ,障芝2770m, 晴,福島
障害4歳上オープン,2018年04月21日 ,障芝3380m, 晴,福島
4歳上500万下,2018年04月21日 ,ダ右1700m, 晴,福島
3歳未勝利,2018年04月21日 ,芝右2000m, 晴,福島
4歳上500万下,2018年04月21日 ,ダ右1150m, 晴,福島
4歳上500万下,2018年04月21日 ,芝右1800m, 晴,福島
伏拝特別,2018年04月21日 ,芝右1200m, 晴,福島
